Date,Temperature_C,Rainfall_mm,Humidity_%,Wind_Speed_kmh
2025-03-10,31.1,4.6,60.3,13.8
2025-03-11,28.8,,64.7,7.5
2025-03-12,30.9,17.3,65.3,5.5
2025-03-13,33.3,6.2,62.1,9.2
2025-03-14,29.7,8.2,51.0,6.6
2025-03-15,33.0,0.4,56.8,9.6
2025-03-16,23.6,22.8,73.0,10.0
2025-03-17,31.0,14.5,63.2,6.0
2025-03-18,29.2,8.3,52.7,12.4
2025-03-19,28.1,4.5,66.5,9.5
2025-03-20,28.8,9.5,52.4,13.2
2025-03-21,24.0,3.8,50.2,4.5
2025-03-22,27.6,5.3,64.4,6.9
2025-03-23,28.7,10.9,45.2,11.6
2025-03-24,30.9,13.3,40.7,7.6
2025-03-25,26.2,12.9,,9.5
2025-03-26,25.3,3.4,53.9,10.0
2025-03-27,25.7,0.5,54.5,10.5
2025-03-28,28.6,1.6,50.9,8.0
2025-03-29,27.0,27.5,51.6,10.4
2025-03-30,24.9,4.8,50.0,7.7
2025-03-31,26.9,7.8,48.7,12.0
2025-04-01,25.7,17.6,50.4,9.7
2025-04-02,27.3,6.0,50.1,10.5
2025-04-03,23.3,16.6,47.2,17.7
2025-04-04,23.9,5.8,49.2,6.7
2025-04-05,23.4,3.8,35.5,14.2
2025-04-06,20.8,34.6,57.9,2.0
2025-04-07,,19.5,55.9,3.8
2025-04-08,24.0,21.6,52.6,6.3
2025-04-09,23.1,1.6,55.0,6.5
2025-04-10,22.3,3.4,55.4,10.6
2025-04-11,19.4,7.7,48.5,10.9
2025-04-12,21.3,5.5,50.0,9.2
2025-04-13,21.2,15.9,57.6,9.6
2025-04-14,19.9,13.6,55.6,11.6
2025-04-15,21.1,24.1,68.7,12.5
2025-04-16,22.0,4.8,65.9,6.0
2025-04-17,25.0,9.4,61.4,8.9
2025-04-18,21.0,20.8,49.8,9.8
2025-04-19,20.9,4.6,51.5,11.5
2025-04-20,20.0,3.6,48.7,7.7
2025-04-21,15.7,24.1,58.0,9.7
2025-04-22,19.6,,37.2,10.1
2025-04-23,19.6,5.6,53.6,7.9
2025-04-24,24.6,7.7,55.0,7.8
2025-04-25,18.6,22.7,46.9,10.3
2025-04-26,19.5,15.5,63.5,9.6
2025-04-27,18.5,1.0,50.4,11.5
2025-04-28,15.9,2.8,60.7,6.8
2025-04-29,20.8,8.3,78.7,8.9
2025-04-30,19.7,18.3,48.4,9.3
2025-05-01,19.7,12.1,59.1,12.4
2025-05-02,15.8,8.2,57.7,7.2
2025-05-03,20.8,4.8,56.8,10.7
2025-05-04,14.5,33.5,66.9,10.8
2025-05-05,18.7,6.9,69.8,14.9
2025-05-06,22.2,18.2,67.9,
2025-05-07,15.1,6.6,57.9,8.0
2025-05-08,15.9,1.2,80.5,7.2
2025-05-09,17.3,10.9,51.6,5.0
2025-05-10,16.0,15.2,57.3,15.3
2025-05-11,13.6,26.1,66.2,6.3
2025-05-12,17.2,7.2,66.1,7.6
2025-05-13,14.7,5.7,69.4,13.9
2025-05-14,18.0,10.3,77.6,4.7
2025-05-15,15.0,1.9,66.2,12.3
2025-05-16,20.4,10.1,68.3,5.8
2025-05-17,15.4,10.1,63.8,13.7
2025-05-18,16.4,6.9,72.6,3.5
2025-05-19,19.0,7.3,,4.7
2025-05-20,14.5,26.8,67.2,8.4
2025-05-21,17.8,10.5,73.7,12.9
2025-05-22,20.3,5.5,77.6,9.9
2025-05-23,14.0,1.2,55.3,9.0
2025-05-24,18.1,12.8,73.7,14.0
2025-05-25,18.4,2.9,69.7,16.5
2025-05-26,19.7,5.6,78.7,12.0
2025-05-27,15.4,8.7,70.7,8.1
2025-05-28,,27.5,81.9,8.7
2025-05-29,19.6,18.9,68.5,6.1
2025-05-30,19.3,9.1,58.0,10.3
